County + State,Total number of voters,Result,% bachelor's degree 2014-18,Population Change 2010-2019,Percent in Poverty,Estimate Median Household Income,Known Number of Cases per 100k
"San Luis Obispo,CA","116,069",39,34.6,1.04933,12.7,"70,626","1,937.80"
"Schuyler,MO","2,005",81,11.6,1.04931,16.9,"39,463","2,532.20"
"Amador,CA","19,821",61,20.3,1.04925,11.8,"58,515","1,031.40"
"Gordon,GA","24,011",81,14.4,1.04897,16.8,"49,101","4,953.20"
"Lancaster,PA","273,527",58,26.9,1.04883,7.9,"66,270","2,422.70"
"Henry,KY","8,064",73,12.2,1.04878,14.3,"53,405","2,629.30"
"Pickaway,OH","27,630",74,18.6,1.04874,12.1,"58,742","6,329.40"
"Washington,TN","59,474",69,32.4,1.04856,14.9,"49,242","4,078.80"
"Butts,GA","11,786",72,11.4,1.04835,19.7,"48,831","3,340.60"
"Boyle,KY","13,958",63,23.4,1.04834,14.8,"47,528","2,455.10"
"Cumberland,ME","6,002",31,46.7,1.04806,8.2,"71,586","1,172.20"
"Granville,NC","31,316",54,22.3,1.04803,13,"58,956","3,891.30"
"Otero,NM","23,556",63,19,1.04793,20.3,"42,701","1,536.50"
"Karnes,TX","5,229",76,14.4,1.04782,21.8,"48,743","6,320.10"
"Howard,TX","10,043",80,12.3,1.04775,20.6,"50,423","4,290.30"
"Minidoka,ID","7,993",80,13.4,1.04760,12.4,"53,447","7,600.20"
"Jackson,TX","6,210",83,16.1,1.04748,12.9,"54,088","5,149.10"
"Grand,UT","5,027",45,27.7,1.04747,11.3,"50,750","2,460.50"
"Schley,GA","2,274",80,12.9,1.04721,18.1,"45,378","2,263.60"
"Madison,NC","13,000",62,27.6,1.04707,17,"44,693","3,328.00"
"Taylor,TX","54,924",73,24.5,1.04702,16,"48,040","2,166.10"
"Fannin,TX","14,969",82,16.7,1.04699,13.8,"53,111","2,601.80"
"Golden Valley,ND","1,024",86,28.1,1.04697,11.2,"58,075","8,290.70"
"York,VA","38,165",54,45.4,1.04689,5.5,"86,317","1,146.70"
"Navarro,TX","19,105",73,16.1,1.04688,20,"46,259","3,330.50"
"Wicomico,MD","38,088",55,26.8,1.04685,14.6,"54,313","2,927.40"
"Hart,KY","8,341",77,11.8,1.04657,22.2,"37,038","3,435.80"
"Beauregard,LA","16,357",84,17.5,1.04650,15.4,"57,005","3,344.30"
"Kingfisher,OK","6,457",86,23.6,1.04647,9.9,"59,266","4,820.80"
"Scott,IA","92,639",49,31.9,1.04641,12.4,"59,865","5,392.50"
"Rowan,KY","10,047",61,26.6,1.04637,22.7,"41,196","2,596.10"
"Nicollet,MN","19,104",49,32.6,1.04628,8.7,"66,209","3,874.70"
"Alamosa,CO","7,519",50,26.1,1.04628,19.1,"42,897","3,006.20"
"Sheridan,WY","16,428",74,30,1.04587,8.7,"58,307","4,874.50"
"Greene,OH","86,616",60,39,1.04548,11.6,"68,380","2,534.10"
"Graham,AZ","14,842",72,15.3,1.04535,20.2,"50,157","4,549.80"
"Oakland,MI","778,418",43,46.4,1.04528,8.2,"80,319","3,047.50"
"Elkhart,IN","73,225",65,19.2,1.04502,11.5,"59,251","7,536.10"
"McMullen,TX",516,89.5,23.3,1.04501,11.1,"64,633","3,499.30"
"Union,TN","8,096",84,8.5,1.04478,19.8,"40,322","3,334.70"
"Banks,GA","8,786",89,12.8,1.04476,13,"55,384","3,545.80"
"Chittenden,VT",853,42.5,50.7,1.04468,10.4,"74,240",787.1
"Clermont,OH","108,531",68,28,1.04465,8.2,"65,280","2,192.50"
"Lamar,GA","9,045",71,17.1,1.04446,17.3,"48,323","2,605.20"
"Taylor,KY","12,503",76,19.2,1.04442,19.2,"45,429","2,999.70"
"El Paso,TX","254,576",33,22.8,1.04438,20.5,"43,948","9,291.40"
"Saratoga,NY","107,583",53,41.4,1.04431,6.3,"83,210",784.8
"Calloway,KY","17,441",66,29,1.04426,21.3,"41,873","3,746.10"
"Kenton,KY","81,634",60,30.4,1.04399,10.4,"64,644","2,650.30"
"Miami,OH","56,968",72,22.6,1.04391,7.9,"59,922","3,227.50"
"Putnam,GA","10,244",74,22.2,1.04379,16.1,"51,205","3,960.40"
"Monroe,TN","20,749",82,12.8,1.04338,15.7,"45,566","4,058.40"
"Hall,NE","23,999",68,20.9,1.04333,13,"53,792","6,470.80"
"Clarke,VA","9,278",57,32.2,1.04332,6.5,"84,021","1,176.60"
"Union,OR","14,862",71,24.8,1.04291,13.9,"50,616","2,377.50"
"Cherokee,NC","16,341",78,19.2,1.04290,18.8,"41,262","3,075.60"
"Hill,TX","14,843",81,17.1,1.04282,12.6,"48,670","2,854.10"
"Garrard,KY","8,436",78,16.8,1.04280,16.1,"51,203","2,666.10"
"Jenkins,GA","3,451",63,9.3,1.04279,31.8,"31,419","5,601.70"
"Troup,GA","29,967",61,18.5,1.04277,20.2,"45,234","4,600.80"
"Stanley,SD","1,652",74,31.3,1.04275,7.8,"69,991","6,294.40"
"Rockland,NY","116,024",56,40.6,1.04253,13.9,"88,960","6,219.70"
"Coffee,AL","22,180",77,23.4,1.04250,13.8,"55,122","4,291.00"
"Monterey,CA","117,329",28,24.5,1.04248,13.3,"69,665","3,115.70"
"Rice,MN","35,582",50,27.5,1.04248,9.6,"67,024","4,849.80"
"Pottawatomie,OK","28,167",73,18.3,1.04224,17.6,"48,499","4,039.00"
"Hamlin,SD","3,083",78,20.3,1.04210,9.3,"65,776","6,213.50"
"Montgomery,VA","44,462",47,45.8,1.04207,24.1,"52,538","3,599.70"
"Lincoln,CO","2,630",82,12.8,1.04204,16.2,"46,690","1,789.20"
"Madera,CA","40,496",55,14.5,1.04200,20.2,"53,632","3,574.70"
"Medina,OH","104,378",62,33.3,1.04195,6.5,"76,475","1,950.00"
"Charlton,GA","4,563",76,10.5,1.04194,25.6,"40,499","5,055.30"
"Hood River,OR","12,745",32,31.6,1.04175,10.9,"66,607","1,479.80"
"Jackson,MO","330,771",39,30.9,1.04174,13,"55,864","5,102.50"
"Harding,SD",813,93,26.1,1.04173,10.7,"55,017","4,930.70"
"Le Sueur,MN","16,764",65,22.4,1.04169,7.8,"67,269","4,057.20"
"Harford,MD","115,796",62,35.8,1.04161,7,"87,959","1,997.30"
"Carteret,NC","42,446",71,28.4,1.04157,9.8,"55,052","2,169.20"
"Barry,MI","35,914",66,20.1,1.04154,8.5,"64,121","2,586.50"
"Grand Isle,VT","1,410",40,39.2,1.04131,8.2,"67,746",497.6
"Miami,KS","17,650",70,27.7,1.04121,7.9,"71,770","2,403.80"
"Cullman,AL","41,751",89,13.7,1.04117,14.5,"45,796","4,703.50"
"Cassia,ID","9,643",84,18.6,1.04116,13,"51,804","8,135.70"
"Rhea,TN","13,608",82,15.2,1.04109,18.4,"44,132","4,477.30"
"Leon,TX","8,672",87,16.4,1.04072,15.6,"47,065","2,430.50"
"Spalding,GA","28,996",61,16.4,1.04067,17.3,"43,510","2,704.50"
"Washington,NE","12,352",70,30.3,1.04056,6.9,"77,838","4,674.60"
"Pierce,WI","23,336",57,28.2,1.04052,8.5,"75,421","4,722.40"
"Champaign,IL","91,929",39,44.4,1.04040,19.2,"53,251","4,601.60"
"Santa Fe,NM","81,213",24,40.9,1.04038,12.2,"60,187","2,532.60"
"Murray,OK","5,892",80,18.5,1.04036,14.9,"50,031","3,609.70"
"Ingham,MI","144,797",34,38.5,1.04016,18.1,"52,837","2,537.90"
"Houston,AL","45,750",72,21,1.04012,16.5,"47,993","4,634.40"
"Johnson,AR","9,402",75,15.8,1.03999,22.2,"39,381","4,439.80"
"Cass,NE","14,071",68,27.4,1.03998,7.4,"75,177","3,687.90"
"Hillsborough,NH","3,326",55,37.3,1.03982,7.4,"78,714","1,773.80"
"Calvert,MD","39,650",56,31.1,1.03975,5.4,"106,270","1,545.50"
"Mineral,MT","2,562",73,17.3,1.03973,14,"43,458",727.8
"Douglas,NV","28,338",65,28.9,1.03971,7.2,"70,495","1,024.40"
"Oglala Lakota,SD","3,195",11,11.8,1.03967,54,"31,662","10,418.30"
"Madison,TX","5,289",79,13.6,1.03967,17.9,"45,445","5,824.70"
"Sevier,UT","9,731",88,17.1,1.03952,12,"54,339","3,408.90"
"Asotin,WA","9,522",63,20.5,1.03945,14,"49,776","2,329.30"
"Cass,MN","18,070",65,22.4,1.03933,12.9,"48,651","3,549.50"
"Transylvania,NC","20,253",58,31.5,1.03929,12.8,"51,398","1,439.60"
"Cheatham,TN","20,091",72,19.6,1.03925,10.3,"63,241","3,494.20"
"Marshall,AL","39,492",85,19.2,1.03922,18.3,"46,233","5,760.80"
"Cape Girardeau,MO","40,252",73,30.5,1.03916,13.8,"51,962","5,587.60"
"Real,TX","1,982",84,20.6,1.03913,18.1,"39,506","3,765.90"
"Crow Wing,MN","40,135",65,24.3,1.03907,12.6,"53,481","4,319.40"
"Lee,TX","8,075",78,15.9,1.03906,12.3,"55,834","1,577.80"
"Georgetown,SC","36,573",57,27.2,1.03900,19.6,"46,058","4,235.80"
"Palo Pinto,TX","12,478",82,16.5,1.03894,15.9,"46,067","3,011.40"
"Hamblen,TN","24,625",77,16.1,1.03878,17.1,"44,040","4,821.80"
"Macomb,MI","496,523",54,24.5,1.03877,11,"62,191","3,456.70"
"Dodge,MN","12,953",68,24.4,1.03870,6.1,"75,955","3,453.70"
"Adams,IN","14,238",76,15.3,1.03870,11.6,"56,693","4,950.10"
"Wood,OH","65,860",54,33.1,1.03864,11.9,"64,282","2,847.50"
"Jackson,IN","19,238",77,15.5,1.03863,12,"55,518","4,252.70"
"Davie,NC","25,059",73,22.9,1.03859,10.8,"60,801","2,434.30"
"Sauk,WI","36,249",49,23.8,1.03855,8.6,"57,256","4,920.70"
"Santa Cruz,CA","124,905",19,40,1.03825,12.2,"84,213","1,397.80"
"Hart,GA","12,721",75,15.1,1.03823,15,"47,171","2,587.30"
"Montrose,CO","24,764",68,23.9,1.03817,11.6,"52,576","1,669.90"
"Cameron,TX","113,789",44,17.3,1.03811,27.9,"38,106","5,980.70"
"Madison,IA","9,795",67,23.9,1.03806,7,"74,794","3,666.30"
"Butler,OH","182,034",62,29.8,1.03802,12.4,"61,053","3,291.30"
"Worcester,MA","70,642",31,35.9,1.03777,9,"71,767","2,912.60"
"Montgomery,PA","492,027",37,48.7,1.03751,5.9,"90,155","2,228.40"
"Hardin,KY","48,464",62,23,1.03748,13.4,"52,278","3,164.30"
"Riley,KS","23,968",49,46,1.03747,20.7,"47,057","4,099.30"
"Dauphin,PA","144,200",46,30.5,1.03734,13.2,"57,979","2,340.60"
"Imperial,CA","36,084",30,14.5,1.03720,21.4,"46,633","8,081.00"
"Shenandoah,VA","23,496",71,20.1,1.03719,10.4,"55,283","2,868.20"
"New Castle,DE","286,133",32,35.9,1.03712,11.6,"69,562","2,952.50"
"Hanson,SD","2,388",76,20.1,1.03694,8.8,"63,772","5,821.00"
"Stanly,NC","33,624",76,15.8,1.03676,13.2,"51,491","4,369.00"
"Grand Forks,ND","30,915",57,34.5,1.03667,12.9,"54,311","10,751.50"
"Thurston,NE","2,294",51,16.7,1.03659,23.9,"45,405","6,990.60"
"Miller,MO","12,379",83,16.6,1.03654,16.9,"47,225","5,343.70"
"Philadelphia,PA","576,716",20,28.6,1.03650,24.3,"46,149","3,323.40"
"Waukesha,WI","267,957",61,43.8,1.03633,5,"87,333","6,011.40"
"Platte,NE","15,256",78,22.2,1.03606,8.5,"63,656","8,341.80"
"Dubuque,IA","53,799",52,30.5,1.03601,11.3,"60,367","8,496.50"
"Haralson,GA","14,266",87,14,1.03596,15.9,"47,662","2,739.00"
"Porter,IN","86,284",53,28.2,1.03588,8.9,"69,298","4,236.80"
"Pitkin,CO","11,829",24,63.1,1.03574,6.8,"89,034","2,324.50"
"San Patricio,TX","25,850",65,14.9,1.03568,17.3,"53,559","2,618.00"
"Warren,TN","16,692",75,14,1.03560,22.5,"42,475","5,184.50"
"Vernon,WI","15,910",53,21.8,1.03548,13.6,"51,692","2,997.90"
"Union,NJ","122,766",27,35.1,1.03531,7.8,"80,737","4,535.90"
"Franklin,KY","25,965",51,29.8,1.03529,12.9,"53,134","2,278.80"
"Dickinson,IA","11,223",67,31.3,1.03527,7.8,"55,603","6,849.00"
"Morrow,OR","5,060",72,10.9,1.03515,15.4,"55,343","5,153.80"
"Holmes,OH","12,809",84,8.9,1.03501,9.4,"60,828","2,866.20"
"Delaware,OK","17,218",79,17.6,1.03482,20.7,"40,287","3,896.90"
"Lincoln,WA","6,663",75,23.6,1.03462,12.5,"53,326","1,151.80"
"Garland,AR","43,961",67,20.2,1.03455,20.4,"43,610","3,370.70"
"Pierce,GA","9,047",88,11.9,1.03455,18.1,"44,389","3,724.60"
"Vilas,WI","15,338",61,27.1,1.03449,10.9,"47,198","4,856.90"
"Washington,KY","6,170",73,17.7,1.03420,13.8,"50,246","3,439.40"
"Merrimack,NH","16,697",47,35.6,1.03418,7,"74,351",915.5
"Crowley,CO","1,730",74,9.6,1.03412,44.3,"35,880","13,133.10"
"Brantley,GA","7,725",91,8.2,1.03409,18.3,"41,874","2,689.80"
"Franklin,PA","79,791",72,21,1.03403,11,"60,744","2,262.80"
"Saunders,NE","12,646",73,25.4,1.03397,7.8,"67,897","4,981.90"
"Sedgwick,KS","200,404",57,30.9,1.03389,13.4,"56,381","4,338.80"
"Dunn,WI","23,543",57,28,1.03375,12.5,"57,506","5,085.10"
"Park,WY","16,699",78,32.1,1.03375,10.2,"58,873","3,901.50"
"Fentress,TN","8,687",86,13.6,1.03348,20.6,"36,687","6,014.10"
"Cherokee,TX","19,457",78,16.9,1.03347,17.4,"43,483","3,210.10"
"Childress,TX","2,259",86,17.3,1.03338,21.2,"42,291","11,059.40"
"Jefferson,KY","372,842",41,32.7,1.03329,15.4,"55,860","4,096.60"
"Franklin,VT",754,56,23.7,1.03306,11.1,"61,129",370.4
"Ozaukee,WI","61,453",56,48.4,1.03293,4.2,"83,014","5,160.20"
"Campbell,KY","48,782",60,33.5,1.03267,13.1,"60,904","2,482.30"
"San Juan,UT","5,243",52,18.4,1.03265,22.6,"42,982","6,264.70"
"Sioux,IA","18,943",84,28.1,1.03262,6.3,"70,162","9,631.30"
"Sweet Grass,MT","2,446",77,25.5,1.03261,10,"52,747","5,566.00"
"Bay,FL","93,025",72,22.8,1.03250,13.4,"51,777","4,528.80"
"Cherokee,OK","17,697",65,25,1.03249,21,"42,913","3,923.40"
"Moniteau,MO","7,150",81,19,1.03238,11.7,"57,047","6,880.70"
"Huerfano,CO","4,389",52,21.4,1.03233,21.7,"38,242","1,420.90"
"Chippewa,WI","35,945",60,20.1,1.03225,11.3,"59,528","6,082.80"
"Fayette,TX","12,924",79,18.1,1.03217,13.3,"55,776","2,248.90"
"Monroe,WI","22,564",62,19.9,1.03213,13.2,"58,391","4,639.70"
"Callahan,TX","6,826",89,19.1,1.03190,12,"50,330","1,355.50"
"Polk,MO","15,059",80,20.3,1.03184,16.2,"45,336","4,018.80"
"Cherokee,SC","25,264",72,13.8,1.03178,16.8,"42,542","3,326.40"
"Kane,IL","228,519",43,33.1,1.03165,8.6,"79,834","5,195.90"
"Pope,AR","24,367",75,22,1.03161,16,"45,788","5,266.00"
"Big Horn,MT","1,620",49,17.4,1.03160,25.6,"40,425","13,011.50"
"Lanier,GA","3,576",71,16.4,1.03157,20.3,"41,564","3,166.10"
"Bremer,IA","14,534",58,30.3,1.03157,6.6,"74,646","6,464.00"
"Storey,NV","2,860",68,28.7,1.03152,7.6,"68,236",727.6
"Robertson,TX","8,080",70,16.1,1.03135,15.8,"44,917","2,711.70"
"York,PA","232,733",63,24.2,1.03134,8.8,"65,238","1,965.20"
"Walla Walla,WA","16,928",50,28.6,1.03132,13.3,"57,329","3,036.50"
"Amelia,VA","7,837",69,15.9,1.03130,9.9,"57,280","1,255.20"
"Jasper,MO","52,515",73,22.9,1.03121,16.6,"46,596","6,221.20"
"Catawba,NC","82,751",69,21.9,1.03116,13,"53,738","3,753.70"
"Douglas,OR","63,107",69,17.2,1.03112,15,"47,020",647
"McMinn,TN","22,815",81,15.8,1.03101,15.9,"46,029","4,180.80"
"Lee,MS","31,762",68,23.9,1.03084,13.1,"51,088","5,409.90"
"Orange,NY","139,956",55,29.8,1.03078,11.5,"75,048","4,043.70"
"Laurel,KY","28,074",84,13.4,1.03076,20.6,"41,425","3,555.20"
"Lincoln,ID","1,940",77,10.1,1.03073,13.8,"50,464","6,075.30"
"Washington,WI","88,254",69,30.7,1.03065,4.5,"75,799","6,169.00"
"Owyhee,ID","4,742",82,11.2,1.03051,14.7,"48,192","4,542.00"
"Doddridge,WV","3,069",85,15.7,1.03050,19,"44,725","1,124.50"
"Franklin,TN","19,146",74,20.7,1.03049,16,"50,201","4,314.30"
"Washington,FL","12,325",81,11.7,1.03046,22.8,"39,225","5,605.90"
"Grays Harbor,WA","28,926",50,15.8,1.03038,17.3,"48,763","1,191.00"
"Oldham,TX","1,009",92,22.5,1.03024,13,"56,590","1,515.20"
"Harrison,IN","20,198",73,17.4,1.03013,9.3,"60,379","3,112.40"
"Westmoreland,VA","9,757",55,20.3,1.03008,16.4,"51,414","2,159.30"
"Carroll,AR","11,639",65,20.4,1.03001,16.1,"45,023","4,309.40"
"Navajo,AZ","46,539",54,15.8,1.02996,28.5,"40,650","6,621.70"
"Madison,OH","19,309",71,16.9,1.02986,10.7,"61,645","2,968.90"
"Gallatin,KY","3,829",78,11.6,1.02984,15.1,"49,060","1,950.60"
"La Paz,AZ","6,677",69,12.4,1.02981,23.7,"37,350","3,420.50"
"Colorado,TX","6,135",60,18.6,1.02975,13.7,"48,258","2,568.30"
"Decatur,IN","12,296",79,19.6,1.02950,11.7,"57,441","4,367.60"
"Lincoln,TN","15,575",80,18.8,1.02948,14.4,"51,249","3,890.50"
"Mercer,KY","11,726",74,17.5,1.02933,12.8,"53,921","2,580.60"
"Codington,SD","13,161",70,21.6,1.02929,11.3,"55,580","8,379.40"
"Davidson,NC","84,785",74,18.5,1.02929,15,"47,758","2,780.30"
"Morgan,CO","13,415",71,17.6,1.02928,12.2,"55,387","4,668.40"
"Winnebago,WI","94,032",52,27.3,1.02893,10.4,"57,785","7,649.50"
"Klamath,OR","36,331",71,19.4,1.02889,18.5,"45,374",839.7
"Seward,NE","9,065",72,29.2,1.02887,7.2,"71,024","4,113.60"
"Bergen,NJ","373,678",39,48.3,1.02860,6.8,"100,181","3,289.60"
"Saluda,SC","9,228",68,16.1,1.02843,14.9,"46,019","3,770.80"
"Pulaski,KY","31,529",82,15.3,1.02831,19.5,"41,541","2,056.00"
"San Juan,CO",563,37.5,34.5,1.02825,14.4,"46,878","2,609.90"
"Butte,SD","4,794",79,20.6,1.02810,14.3,"44,388","6,117.60"
"Wallowa,OR","5,128",68,24.7,1.02795,14.5,"48,137",971.1
"Trempealeau,WI","15,356",59,19.4,1.02784,8,"56,978","6,819.80"
"Nez Perce,ID","20,967",67,21.9,1.02780,13.3,"54,476","4,862.90"
"Lorain,OH","151,988",52,24,1.02771,14.2,"59,265","1,581.20"
"Independence,AR","14,486",79,18.9,1.02760,14.5,"45,596","5,060.10"
"Stewart,TN","6,283",80,14.9,1.02749,13.9,"46,565","3,842.50"
"Blaine,MT","3,117",48,21.8,1.02737,20.8,"39,237","7,109.70"
"La Crosse,WI","67,798",43,34.3,1.02737,10.9,"60,619","6,081.40"
"Kosciusko,IN","35,846",76,22.7,1.02736,9,"57,367","5,001.50"
"Cedar,MO","7,039",83,15.3,1.02720,17.9,"37,288","2,864.30"
"Jefferson,MO","116,629",67,20.2,1.02717,8.7,"65,150","4,159.40"
"Rowan,NC","72,756",68,18.7,1.02716,16.3,"46,864","3,564.00"
"Yakima,WA","48,737",53,16,1.02709,16.5,"51,377","5,066.30"
"Augusta,VA","41,831",74,23.5,1.02683,9,"60,556","1,262.60"
"Hughes,SD","8,720",65,35.5,1.02659,9.4,"70,093","8,102.20"
"Howard,NE","3,501",81,20.5,1.02644,10.2,"52,292","4,406.50"
"Grainger,TN","10,123",85,10.6,1.02636,18.4,"41,829","3,610.60"
"Bear Lake,ID","3,215",89,20.3,1.02614,10.7,"53,780","2,530.60"
"Johnson,MO","23,134",69,28.4,1.02612,14.1,"52,151","4,182.20"
"Fairfield,CT","34,767",35,47.4,1.02608,10,"91,183","3,505.30"
"Dixie,FL","8,170",83,9.4,1.02598,24.7,"37,148","5,604.40"
"Caribou,ID","3,416",86,19.9,1.02595,8.9,"61,219","5,660.40"
"St. Francois,MO","27,996",74,14,1.02573,19,"45,584","6,693.40"
"Baltimore,MD","279,246",41,31.2,1.02568,9.9,"75,836","3,112.60"
"Baltimore,MD","279,246",41,31.2,1.02568,18.9,"50,501","3,112.60"
"Baltimore,MD","279,246",41,38.6,1.02568,9.9,"75,836","3,112.60"
"Baltimore,MD","279,246",41,38.6,1.02568,18.9,"50,501","3,112.60"
"Wallace,KS",816,94,30.9,1.02568,13.1,"51,350","8,432.10"
"Polk,GA","17,375",79,12.2,1.02566,21.8,"43,679","4,505.70"
"Davis,IA","4,097",75,20.5,1.02552,12.7,"54,830","4,322.20"
"Otter Tail,MN","36,213",67,25.1,1.02545,10.3,"53,778","3,848.80"
"Cumberland,NC","145,598",42,25,1.02540,17,"46,779","2,544.50"
"Ventura,CA","331,239",38,33.1,1.02534,9.1,"84,170","2,028.70"
"Virginia Beach,VA","253,477",46,35.2,1.02533,7.5,"76,520","2,136.60"
"Pope,MN","7,019",64,21.9,1.02506,8.4,"60,975","3,724.80"
"Roanoke,VA","55,845",61,34.8,1.02505,6.7,"68,734","3,703.70"
"Roanoke,VA","55,845",61,34.8,1.02505,20.2,"42,715","3,703.70"
"Roanoke,VA","55,845",61,23.8,1.02505,6.7,"68,734","3,703.70"
"Roanoke,VA","55,845",61,23.8,1.02505,20.2,"42,715","3,703.70"
"Roanoke,VA","55,845",61,34.8,1.02505,6.7,"68,734","2,488.70"
"Roanoke,VA","55,845",61,34.8,1.02505,20.2,"42,715","2,488.70"
"Roanoke,VA","55,845",61,23.8,1.02505,6.7,"68,734","2,488.70"
"Roanoke,VA","55,845",61,23.8,1.02505,20.2,"42,715","2,488.70"
"Anderson,TN","35,527",66,23.5,1.02503,16.5,"50,672","3,293.10"
"Franklin,MO","53,750",72,20.1,1.02503,9.2,"58,738","4,085.00"
"Floyd,VA","9,329",68,22.3,1.02499,12.3,"48,315","1,892.20"
"Moore,TN","3,539",83,20.7,1.02496,9.1,"58,234","5,425.40"
"Grayson,KY","11,980",80,10.4,1.02486,21.4,"40,780","3,012.10"
"Glacier,MT","5,630",35,19,1.02474,27,"37,719","8,325.50"
"Northampton,PA","167,867",50,29.2,1.02467,10.2,"68,217","2,394.80"
"Okanogan,WA","12,095",53,19,1.02459,17,"48,345","2,762.60"
"Slope,ND",426,89.5,26.5,1.02459,12.7,"49,843","2,533.30"
"Vermilion,LA","27,324",81,14.2,1.02455,18.3,"48,263","3,999.30"
"Curry,OR","14,843",58,24,1.02444,14.9,"48,788",418.8
"Muscogee,GA","80,216",38,26.2,1.02443,20.1,"46,628","3,429.60"
"Umatilla,OR","32,539",66,16.2,1.02439,15.8,"53,917","5,091.70"
"Marion,TN","13,204",76,11.6,1.02434,15.3,"50,819","3,490.50"
"Oglethorpe,GA","8,126",70,16.9,1.02416,13.8,"51,105","3,047.40"
"Tehama,CA","18,688",64,15.5,1.02399,17,"47,572","2,115.70"
"Jasper,GA","7,629",77,10.8,1.02376,15.4,"51,241","1,870.70"
"Montezuma,CO","15,421",61,28.6,1.02373,16.3,"50,180","1,844.70"
"Adair,KY","8,766",84,16.3,1.02372,23.8,"37,392","3,400.70"
"Coos,OR","36,484",60,17.9,1.02349,15.9,"48,352",558.3
"Sutter,CA","27,200",54,17.7,1.02343,13.5,"57,879","2,682.20"
"Marin,CA","99,960",15,58.8,1.02342,6.6,"122,933","2,893.40"
"Eaton,MI","64,451",50,26.8,1.02341,9.3,"66,716","2,198.30"
"Benson,ND","1,952",57,15.6,1.02321,30.8,"42,407","10,231.30"
"St. Martin,LA","27,038",68,14.4,1.02311,19.3,"46,229","4,731.30"
"Waldo,ME",593,59,29.6,1.02311,13.7,"49,482",508.6
"Trigg,KY","7,369",75,16.9,1.02297,13.1,"49,767","2,368.40"
"Bernalillo,NM","315,332",38,33.9,1.02289,16.5,"51,372","2,877.40"
"Kandiyohi,MN","23,301",63,23.4,1.02287,11.5,"60,579","7,053.40"
"Bingham,ID","20,094",78,20.7,1.02286,12,"50,941","4,977.50"
"Bosque,TX","9,094",83,18.5,1.02277,14.9,"48,460","2,675.90"
"Carroll,NH",538,50.1,33.6,1.02267,9,"59,413",537.7
"Sargent,ND","2,313",60,17.5,1.02256,7.8,"64,756","6,362.20"
"Washington,MD","59,554",63,21.4,1.02253,11.1,"62,556","2,181.40"
"Morgan,WV","8,257",76,17.3,1.02247,10.8,"49,487","1,224.60"
"Bronx,NY","329,638",17,19.8,1.02228,27.3,"38,566","4,220.50"
"Wells,IN","14,080",78,18.1,1.02218,8.5,"60,010","3,873.30"
"Berks,PA","198,803",54,24.5,1.02215,11.4,"62,519","2,868.70"
"Newberry,SC","18,574",62,17.1,1.02210,17.1,"48,029","5,213.30"
"Bee,TX","9,405",65,10.2,1.02200,26.7,"41,806","5,935.80"
"Los Angeles,CA","3,342,930",28,31.8,1.02197,14.2,"67,986","3,518.60"
"Pulaski,AR","165,468",39,34.1,1.02183,16.7,"49,957","3,839.90"
"Mower,MN","19,078",53,21.7,1.02168,11.6,"53,387","5,379.20"
"Breckinridge,KY","10,194",76,11.1,1.02165,18.8,"47,284","1,929.00"
"Hamilton,NE","5,520",79,26,1.02158,6.5,"60,608","4,826.30"
"Hickman,TN","9,832",78,11,1.02154,16.3,"44,684","4,210.00"
"Fulton,AR","5,098",79,11.8,1.02145,20.6,"35,630","3,791.00"
"Kinney,TX","1,603",72,9.6,1.02145,21.1,"43,192","2,318.00"
"Floyd,GA","37,914",71,20.4,1.02144,20.7,"44,906","4,813.30"
"Beaverhead,MT","5,661",71,35.5,1.02139,13.8,"47,674","5,173.00"
"Fremont,CO","25,058",70,18.2,1.02139,16.5,"47,885","3,919.40"
"Calumet,WI","30,858",60,28.7,1.02139,5.3,"72,645","7,780.20"
"Andrew,MO","9,774",75,23.8,1.02122,8.2,"57,459","3,844.90"
"Grant,AR","8,197",84,18.3,1.02119,13.1,"52,050","2,748.40"
"Crawford,AR","24,025",79,15.3,1.02100,16,"47,363","4,402.70"
"Elmore,AL","40,891",74,24.5,1.02083,11.2,"60,367","4,675.60"
"Hill,MT","7,167",57,24.5,1.02049,13.5,"50,136","7,231.30"
"Coke,TX","1,794",88,17.1,1.02049,14.1,"44,804","4,635.40"
"Butler,PA","111,017",67,35.4,1.02030,8.7,"67,161","1,763.60"
"Knox,OH","30,703",72,22.8,1.02017,13.8,"56,885","1,447.30"
"Roberts,SD","4,307",57,17.2,1.02012,21.3,"44,709","5,811.00"
"Silver Bow,MT","18,973",43,26.4,1.02001,16.7,"47,302","4,313.30"
"Autauga,AL","27,639",73,27.7,1.02001,13.8,"59,338","4,571.40"
"Hancock,KY","4,569",70,11,1.02000,12,"56,769","2,992.40"
"Russell,KY","8,939",85,12.9,1.01992,21.6,"34,648","2,756.20"
"Dubois,IN","21,805",70,22.2,1.01983,7.6,"62,126","5,112.80"
"Nicholas,KY","3,396",72,10.2,1.01978,15.5,"41,428","2,022.30"
"Sioux,ND","1,185",27,16.2,1.01977,32.9,"37,002","9,409.00"
"Sonoma,CA","197,603",22,34.9,1.01976,9.9,"81,002","2,289.10"
"Eureka,NV",942,89.5,11.7,1.01960,9.5,"70,036","1,084.30"
"Rusk,TX","21,367",78,14.5,1.01958,16.4,"49,788","2,102.70"
"Morgan,IN","36,214",77,16.9,1.01954,10.6,"66,151","2,617.40"
