County + State,Total number of voters,Result,% bachelor's degree 2014-18,Population Change 2010-2019,Percent in Poverty,Estimate Median Household Income,Known Number of Cases per 100k
"Jasper,SC","14,889",50,16.9,1.20543,19,"43,125","3,338.50"
"Santa Rosa,FL","106,782",74,28.1,1.20538,9.5,"69,541","3,710.50"
"Franklin,WA","30,008",58,17.3,1.20417,13.4,"60,483","5,968.20"
"Pender,NC","33,971",65,26.4,1.20309,15.1,"54,900","2,664.10"
"Mecklenburg,NC","562,643",33,44.8,1.20267,11.7,"64,509","3,556.50"
"Cherokee,GA","144,598",70,37,1.20249,7.4,"82,733","3,272.40"
"Hood,TX","32,582",82,26.1,1.20237,10.2,"60,917","2,329.50"
"Jackson,GA","37,663",79,21,1.20234,8.7,"68,984","3,943.70"
"Polk,FL","343,423",57,20,1.20175,15.7,"51,354","3,573.10"
"Martin,TX","2,160",87,20.4,1.20004,13.6,"56,484","2,807.10"
"Flagler,FL","71,773",61,24.4,1.19794,10.3,"58,975","2,158.50"
"Teton,ID","6,347",47,41.5,1.19614,7.6,"68,749","3,854.40"
"Barrow,GA","38,000",72,17.6,1.19467,9.5,"61,413","3,542.80"
"Delaware,OH","124,004",54,54.4,1.19462,4.1,"103,536","2,107.30"
"Kootenai,ID","89,878",72,24.9,1.19337,10.3,"56,188","3,833.50"
"Hillsborough,FL","711,103",47,32.7,1.19333,14.7,"58,361","3,690.70"
"Collier,FL","208,054",63,36.2,1.19319,10.6,"70,649","4,273.00"
"Bastrop,TX","36,709",57,20.4,1.19298,12.6,"61,883","2,463.80"
"Fredericksburg,VA","12,710",33,42.1,1.19225,14.5,"58,448","2,207.60"
"Boone,IN","38,622",59,48.3,1.19198,5.4,"85,876","3,198.60"
"Brazoria,TX","154,037",59,29.7,1.19030,10.1,"74,225","3,611.40"
"Pasco,FL","301,338",60,23.4,1.19004,12.6,"53,788","2,375.00"
"Limestone,AL","48,754",72,25.5,1.18915,11.4,"64,863","3,876.10"
"Dorchester,SC","69,066",57,27.9,1.18813,11,"65,468","3,332.70"
"Larimer,CO","223,653",43,46.3,1.18792,10.5,"71,306","2,223.90"
"Maury,TN","46,670",68,21.8,1.18744,10.8,"57,337","5,421.90"
"Union,NC","129,475",62,34.8,1.18678,7,"80,428","2,944.20"
"Sumner,TN","92,529",70,26.9,1.18652,8.9,"66,171","4,458.80"
"Wilson,TX","25,006",74,20.5,1.18627,10.9,"71,207","2,108.90"
"Iron,UT","19,156",78,29.1,1.18537,14.4,"51,393","2,607.60"
"Billings,ND",633,87,26.3,1.18519,9,"76,235","4,094.80"
"Durham,NC","177,227",19,47.5,1.18474,13.5,"59,329","3,268.20"
"Custer,CO","3,586",69,36.9,1.18439,12,"55,242","1,065.50"
"Wise,TX","32,297",84,17.5,1.18386,9.9,"66,387","1,939.00"
"Sussex,DE","129,293",56,26.5,1.18364,12.3,"59,821","3,990.60"
"Charlotte,FL","116,481",64,23.2,1.18161,11.1,"52,724","2,383.70"
"Paulding,GA","85,273",65,24.1,1.18084,7.8,"73,309","2,202.60"
"Beaufort,SC","97,397",55,40.3,1.17990,10.9,"65,843","3,507.70"
"St. Lucie,FL","172,131",51,20.3,1.17980,12.1,"53,377","3,061.90"
"Falls Church,VA","8,660",18,78.5,1.17889,3.6,"137,551",588.4
"Stafford,VA","78,306",49,39.8,1.17754,5.4,"108,421","1,891.00"
"Frio,TX","5,264",54,7.2,1.17675,27.5,"41,038","5,328.50"
"Harnett,NC","57,733",62,20.7,1.17471,14.4,"51,225","2,617.40"
"Ascension,LA","62,317",67,26.8,1.17345,10.8,"77,758","4,129.40"
"Currituck,NC","16,006",73,23.1,1.17272,9.7,"64,426","1,066.20"
"Maricopa,AZ","1,713,063",48,32,1.17262,12.3,"65,234","4,083.80"
"Washington,AR","93,467",52,32.8,1.17235,15.2,"50,893","5,887.90"
"Charleston,SC","218,090",44,42.8,1.17230,14.2,"62,958","4,607.10"
"Sarpy,NE","95,409",56,40.1,1.17203,5.7,"79,358","5,251.70"
"Brazos,TX","84,753",57,40.8,1.17144,23.2,"50,113","3,840.60"
"Juab,UT","5,875",88,17.1,1.17079,8.5,"65,379","3,287.00"
"Burleigh,ND","50,465",70,35.1,1.17044,7.4,"72,277","11,145.50"
"Galveston,TX","153,843",62,30,1.16977,12.1,"71,959","4,041.30"
"Kittitas,WA","20,967",54,34.8,1.16943,15.8,"55,624","1,702.30"
"Dawson,GA","16,075",84,30.4,1.16929,8.7,"68,835","3,929.80"
"Bledsoe,TN","5,758",83,12.9,1.16920,26.7,"40,195","7,481.40"
"Lee,AL","70,980",60,34.1,1.16867,19,"48,937","4,474.80"
"Crook,OR","15,165",75,16.6,1.16855,12.9,"51,348",737.6
"Hendricks,IN","88,430",62,36.3,1.16688,5.9,"80,834","3,120.20"
"Chatham,NC","48,308",44,41.3,1.16642,9.3,"73,703","2,989.10"
"Adams,CO","234,599",42,23.6,1.16617,9.2,"70,199","4,735.80"
"Okaloosa,FL","116,485",70,30.6,1.16613,12.7,"62,779","3,786.70"
"McClain,OK","19,201",81,24.2,1.16529,9.1,"65,831","5,087.20"
"Archuleta,CO","9,030",58,38.9,1.16462,11.2,"53,337",855.4
"Platte,MO","58,523",51,41.8,1.16405,5.8,"82,567","1,397.30"
"Valley,ID","7,063",57,30.1,1.16387,8.4,"60,285","1,799.50"
"Bexar,TX","757,667",41,27.6,1.16294,17.2,"54,210","3,562.50"
"Liberty,TX","29,314",80,9.5,1.16293,15.1,"52,577","2,701.20"
"Hoke,NC","21,879",45,18.4,1.16292,18,"47,892","3,311.40"
"Johnson,TX","71,928",77,18.3,1.16232,10.7,"62,635","2,682.30"
"Warren,KY","54,014",59,30.6,1.16228,16.5,"53,478","4,892.50"
"King,WA","1,099,910",23,51.4,1.16222,9.2,"94,822","1,618.90"
"Shelby,KY","22,517",66,24.2,1.16201,10,"66,056","3,991.90"
"Clark,NV","798,908",46,23.9,1.16088,14,"57,155","4,436.00"
"Coweta,GA","76,557",68,29.8,1.16080,10.2,"70,974","2,257.10"
"Bell,TX","125,867",55,24.5,1.16006,13,"54,292","2,154.70"
"Gwinnett,GA","405,681",41,36.1,1.15872,9.2,"72,008","3,674.20"
"Benton,WA","89,324",61,30,1.15825,9.8,"69,212","3,384.20"
"Prince William,VA","219,075",36,40.1,1.15798,6.4,"106,200","3,493.00"
"Park,CO","12,032",59,30.2,1.15763,8.1,"72,121",987
"Tarrant,TX","809,244",50,31.5,1.15683,12.1,"66,059","3,621.40"
"Indian River,FL","97,619",61,28.3,1.15660,10.7,"58,228","2,889.50"
"Greenville,SC","256,951",59,34.2,1.15650,11.1,"61,162","4,123.80"
"Elbert,CO","18,554",75,35.9,1.15500,5,"98,247","1,672.30"
"Reeves,TX","3,683",62,10.8,1.15484,21.5,"45,341","2,722.80"
"Summit,UT","18,130",35,55.3,1.15466,6.2,"105,374","4,700.40"
"Davis,UT","137,689",62,37.5,1.15450,5.7,"84,381","3,829.70"
"New Hanover,NC","129,254",49,39.3,1.15343,15.3,"53,419","2,703.90"
"Johnson,IA","83,481",29,53,1.15078,15.8,"64,387","5,704.00"
"Carver,MN","66,073",53,48.1,1.14976,3.8,"104,248","3,420.00"
"Fulton,GA","483,330",27,51.4,1.14942,13.5,"70,808","3,298.00"
