Name of State,County Name,Margin Amount,Total number of voters
illinois,Marshall, — ,0
illinois,McLean, — ,0
illinois,Stark, — ,0
illinois,Winnebago, — ,0
indiana,Vigo, Trump +46 ,"5,954"
indiana,Vanderburgh, Trump +11 ,"36,243"
indiana,Dearborn, Trump +69 ,"14,815"
indiana,St. Joseph, Trump +5 ,"86,534"
indiana,Marion, Biden +26 ,"290,298"
indiana,Putnam, Trump +46 ,"11,464"
indiana,Allen, Trump +17 ,"141,142"
indiana,LaPorte, Trump +16 ,"42,573"
indiana,Madison, Trump +23 ,"51,711"
indiana,Lake, Biden +14 ,"211,262"
indiana,Hamilton, Trump +11 ,"166,397"
indiana,Monroe, Biden +28 ,"62,628"
indiana,White, Trump +43 ,"10,402"
indiana,Delaware, Trump +13 ,"48,089"
indiana,Pike, Trump +53 ,"6,220"
indiana,Crawford, Trump +43 ,"4,774"
indiana,Hendricks, Trump +24 ,"88,430"
indiana,Porter, Trump +6 ,"86,284"
indiana,Johnson, Trump +34 ,"77,784"
indiana,Elkhart, Trump +29 ,"73,225"
indiana,Tippecanoe, Biden +0.6 ,"71,755"
indiana,Clark, Trump +18 ,"58,040"
indiana,Hancock, Trump +38 ,"42,645"
indiana,Floyd, Trump +13 ,"41,134"
indiana,Howard, Trump +32 ,"40,619"
indiana,Boone, Trump +18 ,"38,622"
indiana,Bartholomew, Trump +26 ,"36,299"
indiana,Morgan, Trump +54 ,"36,214"
indiana,Kosciusko, Trump +51 ,"35,846"
indiana,Warrick, Trump +28 ,"33,884"
indiana,Grant, Trump +39 ,"27,230"
indiana,Dubois, Trump +40 ,"21,805"
indiana,Lawrence, Trump +50 ,"21,071"
indiana,Henry, Trump +45 ,"20,388"
indiana,Harrison, Trump +46 ,"20,198"
indiana,Shelby, Trump +48 ,"20,017"
indiana,Marshall, Trump +41 ,"19,934"
indiana,DeKalb, Trump +47 ,"19,656"
indiana,Jackson, Trump +53 ,"19,238"
indiana,Noble, Trump +50 ,"19,217"
indiana,Huntington, Trump +50 ,"17,809"
indiana,Whitley, Trump +49 ,"17,581"
indiana,Steuben, Trump +42 ,"16,175"
indiana,Gibson, Trump +48 ,"16,165"
indiana,Montgomery, Trump +49 ,"16,164"
indiana,Knox, Trump +47 ,"16,027"
indiana,Jasper, Trump +49 ,"15,492"
indiana,Cass, Trump +41 ,"15,185"
indiana,Greene, Trump +52 ,"14,807"
indiana,Jefferson, Trump +33 ,"14,726"
indiana,Wabash, Trump +50 ,"14,598"
indiana,Miami, Trump +53 ,"14,493"
indiana,Ripley, Trump +59 ,"14,278"
indiana,Adams, Trump +52 ,"14,238"
indiana,Wells, Trump +56 ,"14,080"
indiana,Posey, Trump +41 ,"13,264"
indiana,Clinton, Trump +46 ,"12,961"
indiana,Decatur, Trump +58 ,"12,296"
indiana,Jennings, Trump +57 ,"12,272"
indiana,Washington, Trump +52 ,"12,126"
indiana,Franklin, Trump +63 ,"12,018"
indiana,Daviess, Trump +62 ,"11,971"
indiana,Randolph, Trump +52 ,"11,078"
indiana,Spencer, Trump +38 ,"10,781"
indiana,LaGrange, Trump +54 ,"10,633"
indiana,Starke, Trump +47 ,"10,309"
indiana,Scott, Trump +45 ,"10,176"
indiana,Fayette, Trump +54 ,"10,146"
indiana,Owen, Trump +49 ,"9,915"
indiana,Carroll, Trump +51 ,"9,514"
indiana,Fulton, Trump +48 ,"9,110"
indiana,Sullivan, Trump +50 ,"9,004"
indiana,Brown, Trump +31 ,"8,886"
indiana,Orange, Trump +48 ,"8,833"
indiana,Perry, Trump +25 ,"8,734"
indiana,Jay, Trump +52 ,"8,466"
indiana,Tipton, Trump +53 ,"8,124"
indiana,Fountain, Trump +57 ,"7,978"
indiana,Rush, Trump +54 ,"7,938"
indiana,Clay, Trump +31 ,"7,777"
indiana,Vermillion, Trump +41 ,"7,490"
indiana,Parke, Trump +55 ,"7,020"
indiana,Newton, Trump +52 ,"6,606"
indiana,Pulaski, Trump +48 ,"5,813"
indiana,Blackford, Trump +46 ,"5,354"
indiana,Martin, Trump +59 ,"5,155"
indiana,Warren, Trump +54 ,"4,473"
indiana,Switzerland, Trump +52 ,"4,152"
indiana,Benton, Trump +49 ,"4,115"
indiana,Union, Trump +56 ,"3,491"
indiana,Ohio, Trump +52 ,"3,164"
indiana,Wayne, — ,0
iowa,Black Hawk, Biden +9 ,"66,549"
iowa,Lee, Trump +19 ,"16,721"
iowa,Scott, Biden +3 ,"92,639"
iowa,Dubuque, Trump +3 ,"53,799"
iowa,Marshall, Trump +8 ,"18,122"
iowa,Winneshiek, Trump +5 ,"12,034"
iowa,Jefferson, Trump +1.4 ,"8,952"
iowa,Buena Vista, Trump +26 ,"8,072"
iowa,Pocahontas, Trump +50 ,"3,821"
iowa,Linn, Biden +14 ,"126,716"
iowa,Des Moines, Trump +9 ,"19,897"
iowa,Webster, Trump +24 ,"17,802"
iowa,Bremer, Trump +16 ,"14,534"
iowa,Dickinson, Trump +34 ,"11,223"
iowa,Floyd, Trump +19 ,"8,026"
iowa,Johnson, Biden +43 ,"83,481"
iowa,Clinton, Trump +10 ,"24,620"
iowa,Cerro Gordo, Trump +6 ,"23,794"
iowa,Ringgold, Trump +46 ,"2,709"
iowa,Polk, Biden +15 ,"258,613"
iowa,Woodbury, Trump +16 ,"45,114"
iowa,Wapello, Trump +24 ,"15,607"
iowa,Hardin, Trump +32 ,"8,962"
iowa,Calhoun, Trump +42 ,"5,246"
iowa,Franklin, Trump +35 ,"5,093"
iowa,Monona, Trump +39 ,"4,695"
iowa,Audubon, Trump +36 ,"3,413"
iowa,Buchanan, Trump +21 ,"10,759"
iowa,Poweshiek, Trump +13 ,"10,120"
iowa,O'Brien, Trump +57 ,"7,535"
iowa,Cherokee, Trump +39 ,"6,495"
iowa,Wright, Trump +34 ,"6,240"
iowa,Palo Alto, Trump +37 ,"4,944"
iowa,Emmet, Trump +36 ,"4,834"
iowa,Warren, Trump +17 ,"30,955"
iowa,Henry, Trump +32 ,"9,929"
iowa,Kossuth, Trump +39 ,"9,030"
iowa,Clay, Trump +39 ,"8,928"
iowa,Humboldt, Trump +45 ,"5,311"
iowa,Dallas, Trump +2.0 ,"55,803"
iowa,Story, Biden +17 ,"50,668"
iowa,Pottawattamie, Trump +17 ,"45,733"
iowa,Jasper, Trump +23 ,"20,653"
iowa,Muscatine, Trump +7 ,"20,584"
iowa,Marion, Trump +34 ,"19,217"
iowa,Sioux, Trump +67 ,"18,943"
iowa,Boone, Trump +16 ,"15,277"
iowa,Benton, Trump +28 ,"14,627"
iowa,Plymouth, Trump +49 ,"14,157"
iowa,Washington, Trump +20 ,"11,757"
iowa,Mahaska, Trump +47 ,"11,346"
iowa,Carroll, Trump +38 ,"11,277"
iowa,Jackson, Trump +26 ,"11,110"
iowa,Jones, Trump +22 ,"10,959"
iowa,Cedar, Trump +17 ,"10,702"
iowa,Fayette, Trump +23 ,"10,176"
iowa,Delaware, Trump +35 ,"9,963"
iowa,Madison, Trump +34 ,"9,795"
iowa,Iowa, Trump +25 ,"9,702"
iowa,Clayton, Trump +29 ,"9,589"
iowa,Tama, Trump +19 ,"9,017"
iowa,Hamilton, Trump +25 ,"8,516"
iowa,Mills, Trump +37 ,"8,247"
iowa,Harrison, Trump +38 ,"8,137"
iowa,Butler, Trump +39 ,"8,081"
iowa,Page, Trump +43 ,"7,509"
iowa,Allamakee, Trump +29 ,"7,459"
iowa,Cass, Trump +38 ,"7,265"
iowa,Grundy, Trump +38 ,"7,245"
iowa,Crawford, Trump +37 ,"7,125"
iowa,Lyon, Trump +68 ,"6,846"
iowa,Shelby, Trump +40 ,"6,780"
iowa,Chickasaw, Trump +31 ,"6,605"
iowa,Appanoose, Trump +40 ,"6,500"
iowa,Guthrie, Trump +36 ,"6,369"
iowa,Hancock, Trump +44 ,"6,164"
iowa,Union, Trump +32 ,"6,163"
iowa,Winnebago, Trump +26 ,"5,931"
iowa,Mitchell, Trump +28 ,"5,797"
iowa,Sac, Trump +48 ,"5,512"
iowa,Louisa, Trump +33 ,"5,323"
iowa,Montgomery, Trump +39 ,"5,313"
iowa,Keokuk, Trump +45 ,"5,273"
iowa,Greene, Trump +29 ,"5,054"
iowa,Howard, Trump +27 ,"4,951"
iowa,Clarke, Trump +36 ,"4,666"
iowa,Worth, Trump +26 ,"4,405"
iowa,Lucas, Trump +41 ,"4,299"
iowa,Adair, Trump +41 ,"4,183"
iowa,Davis, Trump +49 ,"4,097"
iowa,Monroe, Trump +46 ,"4,084"
iowa,Fremont, Trump +42 ,"3,855"
iowa,Ida, Trump +51 ,"3,845"
iowa,Decatur, Trump +39 ,"3,798"
iowa,Van Buren, Trump +53 ,"3,795"
iowa,Osceola, Trump +63 ,"3,325"
iowa,Taylor, Trump +53 ,"3,237"
iowa,Wayne, Trump +52 ,"3,103"
iowa,Adams, Trump +43 ,"2,158"
kansas,Pottawatomie, Trump +47 ,"12,806"
kansas,Republic, Trump +64 ,"2,388"
kansas,Harper, Trump +71 ,"2,247"
kansas,Greeley, Trump +73 ,628
kansas,Decatur, Trump +70 ,"1,456"
kansas,Morton, Trump +74 ,"1,161"
kansas,Cheyenne, Trump +67 ,"1,380"
kansas,Graham, Trump +64 ,"1,301"
kansas,Hodgeman, Trump +69 ,"1,033"
kansas,Rooks, Trump +74 ,"2,666"
kansas,Kiowa, Trump +71 ,"1,137"
kansas,Lane, Trump +72 ,888
kansas,Hamilton, Trump +66 ,836
kansas,Trego, Trump +69 ,"1,603"
kansas,Rawlins, Trump +69 ,"1,495"
kansas,Comanche, Trump +69 ,900
kansas,Cloud, Trump +55 ,"4,141"
kansas,Mitchell, Trump +63 ,"3,036"
kansas,Stevens, Trump +75 ,"1,995"
kansas,Clark, Trump +71 ,"1,042"
kansas,Wichita, Trump +68 ,961
kansas,Wallace, Trump +88 ,816
kansas,Seward, Trump +30 ,"5,093"
kansas,Osborne, Trump +69 ,"1,904"
kansas,Gove, Trump +76 ,"1,433"
kansas,Haskell, Trump +61 ,"1,379"
kansas,Elk, Trump +70 ,"1,347"
kansas,Barber, Trump +74 ,"2,313"
kansas,Chautauqua, Trump +73 ,"1,629"
kansas,McPherson, Trump +41 ,"13,482"
kansas,Stafford, Trump +63 ,"2,015"
kansas,Lincoln, Trump +64 ,"1,566"
kansas,Stanton, Trump +60 ,767
kansas,Sedgwick, Trump +14 ,"200,404"
kansas,Neosho, Trump +46 ,"6,627"
kansas,Ottawa, Trump +66 ,"3,149"
kansas,Pawnee, Trump +51 ,"2,712"
kansas,Sherman, Trump +69 ,"2,669"
kansas,Grant, Trump +58 ,"2,438"
kansas,Smith, Trump +67 ,"2,089"
kansas,Edwards, Trump +61 ,"1,413"
kansas,Kearny, Trump +62 ,"1,413"
kansas,Sheridan, Trump +78 ,"1,397"
kansas,Clay, Trump +54 ,"4,121"
kansas,Ellsworth, Trump +52 ,"2,802"
kansas,Labette, Trump +36 ,"8,411"
kansas,Shawnee, Biden +2 ,"83,689"
kansas,Wyandotte, Biden +31 ,"55,379"
kansas,Lyon, Trump +11 ,"13,616"
kansas,Bourbon, Trump +52 ,"6,545"
kansas,Wilson, Trump +62 ,"3,898"
kansas,Meade, Trump +69 ,"1,807"
kansas,Logan, Trump +73 ,"1,428"
kansas,Montgomery, Trump +50 ,"13,173"
kansas,Greenwood, Trump +61 ,"3,029"
kansas,Rush, Trump +65 ,"1,747"
kansas,Johnson, Biden +8 ,"337,232"
kansas,Douglas, Biden +39 ,"57,309"
kansas,Leavenworth, Trump +21 ,"36,056"
kansas,Butler, Trump +42 ,"31,812"
kansas,Reno, Trump +34 ,"27,148"
kansas,Riley, Biden +3 ,"23,968"
kansas,Saline, Trump +31 ,"23,835"
kansas,Miami, Trump +40 ,"17,650"
kansas,Harvey, Trump +20 ,"17,110"
kansas,Crawford, Trump +23 ,"16,185"
kansas,Cowley, Trump +38 ,"13,951"
kansas,Ellis, Trump +44 ,"13,508"
kansas,Ford, Trump +50 ,"13,198"
kansas,Franklin, Trump +39 ,"12,143"
kansas,Finney, Trump +26 ,"11,404"
kansas,Barton, Trump +56 ,"10,976"
kansas,Sumner, Trump +50 ,"10,804"
kansas,Jefferson, Trump +32 ,"9,545"
kansas,Geary, Trump +15 ,"9,303"
kansas,Dickinson, Trump +54 ,"9,243"
kansas,Cherokee, Trump +50 ,"8,925"
kansas,Osage, Trump +44 ,"7,883"
kansas,Allen, Trump +49 ,"7,484"
kansas,Atchison, Trump +34 ,"7,300"
kansas,Jackson, Trump +40 ,"6,458"
kansas,Marion, Trump +49 ,"5,965"
kansas,Nemaha, Trump +66 ,"5,578"
kansas,Thomas, Trump +75 ,"5,422"
kansas,Marshall, Trump +48 ,"5,028"
kansas,Linn, Trump +63 ,"4,910"
kansas,Coffey, Trump +56 ,"4,442"
kansas,Brown, Trump +48 ,"4,390"
kansas,Rice, Trump +53 ,"4,212"
kansas,Pratt, Trump +53 ,"4,107"
kansas,Kingman, Trump +60 ,"3,922"
kansas,Wabaunsee, Trump +48 ,"3,859"
kansas,Anderson, Trump +57 ,"3,682"
kansas,Doniphan, Trump +62 ,"3,678"
kansas,Russell, Trump +63 ,"3,436"
kansas,Phillips, Trump +76 ,"3,278"
kansas,Morris, Trump +48 ,"2,847"
kansas,Washington, Trump +66 ,"2,827"
kansas,Norton, Trump +68 ,"2,386"
kansas,Scott, Trump +73 ,"2,323"
kansas,Gray, Trump +68 ,"2,240"
kansas,Jewell, Trump +72 ,"1,606"
kansas,Woodson, Trump +61 ,"1,496"
kansas,Ness, Trump +79 ,"1,485"
kansas,Chase, Trump +52 ,"1,478"
kentucky,Clay, Trump +86 ,"6,498"
kentucky,Jefferson, Biden +19 ,"372,842"
kentucky,Fayette, Biden +19 ,"145,373"
kentucky,Edmonson, Trump +72 ,"5,004"
kentucky,Franklin, Trump +1.1 ,"25,965"
kentucky,Letcher, Trump +60 ,"9,027"
kentucky,Leslie, Trump +80 ,"4,814"
kentucky,Fulton, Trump +34 ,"2,421"
kentucky,Jessamine, Trump +33 ,"25,974"
kentucky,Martin, Trump +79 ,"3,929"
kentucky,Lee, Trump +64 ,"2,659"
kentucky,Perry, Trump +54 ,"10,606"
kentucky,Kenton, Trump +20 ,"81,634"
kentucky,Harlan, Trump +72 ,"10,962"
kentucky,Carlisle, Trump +64 ,"2,638"
kentucky,Hickman, Trump +57 ,"2,199"
kentucky,Campbell, Trump +19 ,"48,782"
kentucky,Oldham, Trump +22 ,"37,884"
kentucky,McCracken, Trump +33 ,"32,486"
kentucky,Pike, Trump +61 ,"25,353"
kentucky,Webster, Trump +52 ,"5,987"
kentucky,Ballard, Trump +60 ,"4,224"
kentucky,Henderson, Trump +25 ,"20,525"
kentucky,Marshall, Trump +53 ,"17,528"
kentucky,Elliott, Trump +51 ,"2,984"
kentucky,Hardin, Trump +24 ,"48,464"
kentucky,Madison, Trump +27 ,"43,853"
kentucky,Boyd, Trump +33 ,"21,604"
kentucky,Hopkins, Trump +48 ,"21,460"
kentucky,Monroe, Trump +75 ,"5,264"
kentucky,McLean, Trump +54 ,"4,776"
kentucky,Daviess, Trump +28 ,"48,954"
kentucky,Johnson, Trump +67 ,"10,193"
kentucky,Adair, Trump +67 ,"8,766"
kentucky,Union, Trump +52 ,"6,570"
kentucky,Magoffin, Trump +54 ,"5,440"
kentucky,Hancock, Trump +39 ,"4,569"
kentucky,Lyon, Trump +47 ,"4,227"
kentucky,Owsley, Trump +77 ,"1,876"
kentucky,Boone, Trump +38 ,"64,582"
kentucky,Warren, Trump +18 ,"54,014"
kentucky,Bullitt, Trump +49 ,"41,134"
kentucky,Pulaski, Trump +63 ,"31,529"
kentucky,Scott, Trump +25 ,"28,921"
kentucky,Laurel, Trump +67 ,"28,074"
kentucky,Clark, Trump +34 ,"26,584"
kentucky,Christian, Trump +28 ,"23,825"
kentucky,Nelson, Trump +37 ,"23,208"
kentucky,Shelby, Trump +32 ,"22,517"
kentucky,Barren, Trump +47 ,"20,079"
kentucky,Greenup, Trump +45 ,"18,129"
kentucky,Calloway, Trump +32 ,"17,441"
kentucky,Graves, Trump +57 ,"16,920"
kentucky,Floyd, Trump +51 ,"16,381"
kentucky,Allen, Trump +61 ,"15,951"
kentucky,Whitley, Trump +65 ,"15,340"
kentucky,Woodford, Trump +13 ,"15,187"
kentucky,Muhlenberg, Trump +49 ,"14,221"
kentucky,Meade, Trump +47 ,"14,048"
kentucky,Boyle, Trump +26 ,"13,958"
kentucky,Knox, Trump +67 ,"13,279"
kentucky,Anderson, Trump +48 ,"13,261"
kentucky,Montgomery, Trump +42 ,"12,786"
kentucky,Taylor, Trump +51 ,"12,503"
kentucky,Mason, Trump +45 ,"12,394"
kentucky,Logan, Trump +48 ,"12,322"
kentucky,Grayson, Trump +59 ,"11,980"
kentucky,Mercer, Trump +47 ,"11,726"
kentucky,Carter, Trump +53 ,"11,581"
kentucky,Spencer, Trump +54 ,"11,410"
kentucky,Ohio, Trump +56 ,"11,120"
kentucky,Grant, Trump +59 ,"11,095"
kentucky,Lincoln, Trump +57 ,"10,901"
kentucky,Breckinridge, Trump +52 ,"10,194"
kentucky,Rowan, Trump +21 ,"10,047"
kentucky,Bell, Trump +63 ,"10,042"
kentucky,Bourbon, Trump +30 ,"9,634"
kentucky,Wayne, Trump +62 ,"9,237"
kentucky,Russell, Trump +69 ,"8,939"
kentucky,Marion, Trump +38 ,"8,922"
kentucky,Harrison, Trump +44 ,"8,848"
kentucky,Simpson, Trump +37 ,"8,724"
kentucky,Garrard, Trump +56 ,"8,436"
kentucky,Hart, Trump +53 ,"8,341"
kentucky,Henry, Trump +46 ,"8,064"
kentucky,Rockcastle, Trump +70 ,"7,782"
kentucky,Trigg, Trump +50 ,"7,369"
kentucky,LaRue, Trump +57 ,"7,299"
kentucky,Casey, Trump +72 ,"7,240"
kentucky,Fleming, Trump +58 ,"7,060"
kentucky,Lawrence, Trump +63 ,"6,954"
kentucky,Pendleton, Trump +61 ,"6,923"
kentucky,Estill, Trump +57 ,"6,537"
kentucky,Caldwell, Trump +54 ,"6,436"
kentucky,McCreary, Trump +77 ,"6,431"
kentucky,Knott, Trump +54 ,"6,248"
kentucky,Washington, Trump +46 ,"6,170"
kentucky,Butler, Trump +63 ,"6,125"
kentucky,Jackson, Trump +79 ,"6,116"
kentucky,Lewis, Trump +71 ,"5,877"
kentucky,Green, Trump +68 ,"5,806"
kentucky,Breathitt, Trump +52 ,"5,667"
kentucky,Bath, Trump +43 ,"5,627"
kentucky,Morgan, Trump +56 ,"5,535"
kentucky,Owen, Trump +59 ,"5,454"
kentucky,Todd, Trump +53 ,"5,351"
kentucky,Powell, Trump +50 ,"5,344"
kentucky,Metcalfe, Trump +60 ,"5,014"
kentucky,Livingston, Trump +61 ,"5,003"
kentucky,Clinton, Trump +75 ,"4,932"
kentucky,Trimble, Trump +51 ,"4,318"
kentucky,Bracken, Trump +61 ,"4,244"
kentucky,Crittenden, Trump +64 ,"4,239"
kentucky,Carroll, Trump +44 ,"4,126"
kentucky,Gallatin, Trump +56 ,"3,829"
kentucky,Nicholas, Trump +43 ,"3,396"
kentucky,Cumberland, Trump +68 ,"3,309"
kentucky,Menifee, Trump +51 ,"3,084"
kentucky,Wolfe, Trump +42 ,"2,981"
kentucky,Robertson, Trump +55 ,"1,144"
louisiana,East Carroll, Biden +27 ,"3,036"
louisiana,Red River, Trump +19 ,"4,132"
louisiana,Madison, Biden +16 ,"4,670"
louisiana,Tensas, Biden +5 ,"2,549"
louisiana,Morehouse, Trump +14 ,"11,574"
louisiana,Concordia, Trump +27 ,"8,828"
louisiana,Winn, Trump +49 ,"6,223"
louisiana,Natchitoches, Trump +15 ,"16,554"
louisiana,St. Helena, Biden +10 ,"6,158"
louisiana,Iberia, Trump +31 ,"32,712"
louisiana,Evangeline, Trump +45 ,"15,412"
louisiana,Bienville, Trump +12 ,"7,049"
louisiana,Claiborne, Trump +16 ,"6,580"
louisiana,Calcasieu, Trump +35 ,"82,659"
louisiana,St. Landry, Trump +14 ,"41,149"
louisiana,St. Mary, Trump +29 ,"23,184"
louisiana,Webster, Trump +31 ,"18,215"
louisiana,Iberville, Biden +4 ,"16,719"
louisiana,Catahoula, Trump +47 ,"4,858"
louisiana,Ouachita, Trump +24 ,"69,148"
louisiana,Caldwell, Trump +68 ,"4,762"
louisiana,Rapides, Trump +32 ,"58,861"
louisiana,St. John the Baptist, Biden +28 ,"21,431"
louisiana,Lincoln, Trump +19 ,"19,275"
louisiana,Avoyelles, Trump +41 ,"17,292"
louisiana,St. James, Biden +4 ,"12,589"
louisiana,Pointe Coupee, Trump +23 ,"12,371"
louisiana,Assumption, Trump +31 ,"11,235"
louisiana,Jackson, Trump +43 ,"7,632"
louisiana,Union, Trump +51 ,"11,200"
louisiana,East Feliciana, Trump +17 ,"10,509"
louisiana,Richland, Trump +34 ,"9,940"
louisiana,Acadia, Trump +60 ,"28,425"
louisiana,Vernon, Trump +65 ,"17,264"
louisiana,Jeff Davis, Trump +55 ,"14,841"
louisiana,Plaquemines, Trump +36 ,"11,012"
louisiana,Franklin, Trump +44 ,"9,720"
louisiana,Terrebonne, Trump +50 ,"46,240"
louisiana,St. Martin, Trump +36 ,"27,038"
louisiana,Washington, Trump +38 ,"19,513"
louisiana,Sabine, Trump +66 ,"10,596"
louisiana,Allen, Trump +56 ,"9,810"
louisiana,Jefferson, Trump +11 ,"193,631"
louisiana,Vermilion, Trump +62 ,"27,324"
louisiana,Grant, Trump +74 ,"9,392"
louisiana,LaSalle, Trump +83 ,"6,982"
louisiana,West Carroll, Trump +71 ,"5,052"
louisiana,Orleans, Biden +68 ,"177,670"
louisiana,Cameron, Trump +83 ,"4,038"
louisiana,Lafayette, Trump +29 ,"114,520"
louisiana,Lafourche, Trump +60 ,"45,380"
louisiana,St. Charles, Trump +30 ,"28,517"
louisiana,Beauregard, Trump +67 ,"16,357"
louisiana,DeSoto, Trump +25 ,"14,724"
louisiana,West Feliciana, Trump +25 ,"6,268"
louisiana,Tangipahoa, Trump +33 ,"57,650"
louisiana,Bossier, Trump +41 ,"54,642"
louisiana,East Baton Rouge, Biden +13 ,"208,111"
louisiana,St. Tammany, Trump +44 ,"140,107"
louisiana,Caddo, Biden +7 ,"104,699"
louisiana,Livingston, Trump +70 ,"65,222"
louisiana,Ascension, Trump +33 ,"62,317"
louisiana,St. Bernard, Trump +28 ,"17,649"
louisiana,West Baton Rouge, Trump +11 ,"14,097"
maryland,Somerset, Trump +19 ,"6,702"
maryland,Baltimore City, Biden +78 ,"167,244"
maryland,Montgomery, Biden +56 ,"345,549"
maryland,Baltimore, Biden +18 ,"279,246"
maryland,Charles, Biden +27 ,"57,151"
maryland,Kent, Trump +8 ,"7,932"
maryland,Allegany, Trump +47 ,"25,544"
maryland,Worcester, Trump +32 ,"23,587"
maryland,Calvert, Trump +12 ,"39,650"
maryland,Harford, Trump +23 ,"115,796"
maryland,Howard, Biden +41 ,"142,469"
maryland,Cecil, Trump +35 ,"39,363"
maryland,Dorchester, Trump +19 ,"13,371"
maryland,Anne Arundel, Biden +8 ,"238,391"
maryland,St. Mary's, Trump +19 ,"44,364"
maryland,Washington, Trump +26 ,"59,554"
maryland,Wicomico, Trump +9 ,"38,088"
maryland,Talbot, Trump +3 ,"19,029"
maryland,Caroline, Trump +43 ,"13,110"
maryland,Carroll, Trump +29 ,"86,188"
maryland,Queen Anne's, Trump +34 ,"25,256"
maryland,Frederick, Biden +5 ,"122,055"
maryland,Garrett, Trump +61 ,"13,733"
maryland,Prince George's, Biden +80 ,"343,560"
massachusetts,Wareham, Biden +10 ,"1,873"
massachusetts,Belchertown, Biden +37 ,"1,461"
massachusetts,Boxford, Biden +35 ,"1,269"
massachusetts,Tewksbury, Biden +33 ,"10,261"
massachusetts,Grafton, Biden +27 ,"6,805"
massachusetts,Amherst, Biden +83 ,"11,346"
massachusetts,Holden, Biden +18 ,"9,549"
massachusetts,Wales, Trump +37 ,912
massachusetts,Cambridge, Biden +85 ,"49,644"
massachusetts,Windsor, Biden +14 ,477
massachusetts,Lawrence, Biden +48 ,"22,996"
massachusetts,West Newbury, Biden +32 ,"3,231"
massachusetts,Holyoke, Biden +38 ,"16,166"
massachusetts,Fitchburg, Biden +20 ,"15,029"
massachusetts,Boston, Biden +67 ,"273,133"
massachusetts,Somerville, Biden +77 ,"40,382"
massachusetts,North Brookfield, Trump +10 ,"2,710"
massachusetts,Northfield, Biden +33 ,"1,855"
massachusetts,Springfield, Biden +46 ,"53,744"
massachusetts,Newton, Biden +66 ,"47,228"
massachusetts,Williamstown, Biden +72 ,"3,634"
massachusetts,Medford, Biden +50 ,"30,637"
massachusetts,Lowell, Biden +33 ,"37,366"
massachusetts,Watertown, Biden +58 ,"19,109"
massachusetts,Belmont, Biden +58 ,"14,939"
massachusetts,Winthrop, Biden +24 ,"9,907"
massachusetts,Rockland, Biden +11 ,"9,784"
massachusetts,West Tisbury, Biden +69 ,"2,292"
massachusetts,Arlington, Biden +67 ,"27,872"
massachusetts,Barnstable, Biden +18 ,"27,051"
massachusetts,Sandwich, Biden +14 ,"13,176"
massachusetts,Bourne, Biden +9 ,"11,269"
massachusetts,Leyden, Biden +35 ,502
massachusetts,Lynn, Biden +40 ,"34,976"
massachusetts,Winchester, Biden +43 ,"13,471"
massachusetts,Orleans, Biden +37 ,"4,764"
massachusetts,Tisbury, Biden +59 ,"2,747"
massachusetts,Leverett, Biden +75 ,"1,319"
massachusetts,Shutesbury, Biden +80 ,"1,299"
massachusetts,Fall River, Biden +13 ,"31,402"
massachusetts,Waltham, Biden +43 ,"28,138"
massachusetts,Braintree, Biden +18 ,"21,582"
massachusetts,Melrose, Biden +47 ,"17,725"
massachusetts,Dartmouth, Biden +11 ,"17,337"
massachusetts,Milton, Biden +47 ,"17,178"
massachusetts,Saugus, Biden +2 ,"15,326"
massachusetts,Eastham, Biden +42 ,"4,050"
massachusetts,Nahant, Biden +31 ,"2,489"
massachusetts,Granville, Trump +16 ,990
massachusetts,Peru, Biden +16 ,533
massachusetts,Savoy, Biden +16 ,399
massachusetts,Marlborough, Biden +34 ,"19,122"
massachusetts,Norton, Biden +10 ,"10,447"
massachusetts,Northborough, Biden +37 ,"9,395"
massachusetts,Gardner, Biden +13 ,"9,217"
massachusetts,Southbridge, Biden +15 ,"7,226"
massachusetts,Groton, Biden +38 ,"7,121"
massachusetts,Freetown, Trump +8 ,"5,415"
massachusetts,Topsfield, Biden +21 ,"4,139"
massachusetts,Stockbridge, Biden +63 ,"1,359"
massachusetts,Cummington, Biden +43 ,587
massachusetts,Malden, Biden +51 ,"24,776"
massachusetts,Salem, Biden +52 ,"23,706"
massachusetts,Falmouth, Biden +31 ,"21,624"
massachusetts,Leominster, Biden +17 ,"21,130"
massachusetts,Gloucester, Biden +36 ,"17,282"
massachusetts,Yarmouth, Biden +20 ,"15,305"
massachusetts,Milford, Biden +22 ,"14,578"
massachusetts,Middleborough, Trump +6 ,"13,538"
massachusetts,Hudson, Biden +31 ,"11,588"
massachusetts,Chelsea, Biden +56 ,"10,280"
massachusetts,Abington, Biden +10 ,"9,550"
massachusetts,Kingston, Biden +9 ,"8,289"
massachusetts,Pepperell, Biden +9 ,"7,208"
massachusetts,Palmer, Trump +2 ,"6,500"
massachusetts,Southborough, Biden +42 ,"6,449"
massachusetts,Lancaster, Biden +15 ,"4,247"
massachusetts,Hopedale, Biden +24 ,"3,706"
massachusetts,Ashby, Trump +3 ,"2,021"
massachusetts,Plympton, Biden +3 ,"1,918"
massachusetts,Charlemont, Biden +35 ,743
massachusetts,Worcester, Biden +38 ,"70,642"
massachusetts,Weymouth, Biden +22 ,"32,287"
massachusetts,Woburn, Biden +23 ,"22,370"
massachusetts,Chelmsford, Biden +27 ,"21,939"
